word,weight
articulate,4
associate,4
characterize,4
cite,4
clarify,5
classify,18
compare,11
contrast,7
convert,13
defend,12
demonstrate,6
describe,22
differentiate,8
discuss,21
distinguish,12
estimate,11
explain,28
express,17
extend,11
extrapolate,5
generalize,11
give,4
give examples,8
identify,14
illustrate,9
indicate,8
infer,15
interpolate,5
interpret,17
locate,10
match,7
observe,5
organize,5
paraphrase,22
predict,12
recognize,11
relate,7
report,10
represent,4
restate,15
review,15
rewrite,12
select,7
summarize,20
tell,7
translate,21